City,CU_Code,TU_Code,Type,Line,Station,Station_Eng,Effective_Date,Upload_Date,Expiry_Date,data_up_user,link,Status
0,,,地铁,世博专线,,,2010/4/20,,2010/11/2,admin,,
0,,,地铁,世博专线,马当路,,2010/4/20,,2010/11/2,admin,,
0,,,地铁,世博专线,卢浦大桥,,2010/4/20,,2010/11/2,admin,,
0,,,地铁,世博专线,世博大道,,2010/4/20,,2010/11/2,admin,,
0,,,有轨电车,张江有轨电车,,,2009/12/31,,2023/6/1,admin,,
0,,,有轨电车,张江有轨电车,张江高科,,2009/12/31,,2023/6/1,admin,,
0,,,有轨电车,张江有轨电车,碧波路高科路,,2009/12/31,,2023/6/1,admin,,
0,,,有轨电车,张江有轨电车,华佗路达尔文路,,2009/12/31,,2023/6/1,admin,,
0,,,有轨电车,张江有轨电车,华佗路科苑路,,2009/12/31,,2023/6/1,admin,,
0,,,有轨电车,张江有轨电车,蔡伦路金科路,,2009/12/31,,2023/6/1,admin,,Done
0,,,有轨电车,张江有轨电车,蔡伦路哈雷路,,2009/12/31,,2023/6/1,admin,,Done
0,,,有轨电车,张江有轨电车,哥白尼路李冰路,,2009/12/31,,2023/6/1,admin,,Done
0,,,有轨电车,张江有轨电车,紫薇路高斯路,,2009/12/31,,2023/6/1,admin,,Done
0,,,有轨电车,张江有轨电车,高斯路张江路,,2009/12/31,,2023/6/1,admin,,Done
0,,,有轨电车,张江有轨电车,张江中学,,2009/12/31,,2023/6/1,admin,,Done
0,,,有轨电车,张江有轨电车,广兰路祖冲之路,,2009/12/31,,2023/6/1,admin,,Done
0,,,有轨电车,张江有轨电车,广兰路丹桂路,,2009/12/31,,2023/6/1,admin,,Done
0,,,有轨电车,张江有轨电车,丹桂路青桐路,,2009/12/31,,2023/6/1,admin,,Done
0,,,有轨电车,张江有轨电车,丹桂路张东路,,2009/12/31,,2023/6/1,admin,,Done
0,,,有轨电车,张江有轨电车,张东路金秋路,,2009/12/31,,2023/6/1,admin,,Done
2000,110,,地铁,,,,,,,tracker,,Done
2000,1101,,地铁,1号线,,,1993/5/28,,,tracker,,Done
2000,110111,,地铁,1号线,莘庄,,1996/12/28,,,tracker,,Done
2000,110112,,地铁,1号线,外环路,,1996/12/28,,,tracker,,Done
2000,110113,,地铁,1号线,莲花路,,1996/12/28,,,tracker,,Done
2000,110114,,地铁,1号线,虹梅路,Hongmei Road,1996/12/28,,2001/5/1,admin,,Done
2000,110114,,地铁,1号线,锦江乐园,Jinjiang Park,1993/5/28,,1996/12/28,admin,,Done
2000,110114,,地铁,1号线,锦江乐园,Jinjiang Park,2001/5/1,,,admin,,Done
2000,110115,,地铁,1号线,新龙华,XIN LONG HUA,1993/5/28,,1999/12/28,tracker,,Done
2000,110115,,地铁,1号线,上海南站,,1999/12/28,,,tracker,,Done
2000,110116,,地铁,1号线,漕宝路,,1993/5/28,,,tracker,,Done
2000,110117,,地铁,1号线,上海体育馆,,1993/5/28,,,tracker,,Done
2000,110118,,地铁,1号线,徐家汇,,1993/5/28,,,tracker,,Done
2000,110119,,地铁,1号线,衡山路,,1995/4/10,,,tracker,,Done
2000,110120,,地铁,1号线,常熟路,,1995/4/10,,,tracker,,Done
2000,110121,,地铁,1号线,陕西南路,,1995/4/10,,,tracker,,Done
2000,110122,,地铁,1号线,黄陂南路,,1995/4/10,,,tracker,,Done
2000,110123,,地铁,1号线,人民广场,,1995/4/10,,,tracker,,Done
2000,110124,,地铁,1号线,新闸路,,1995/4/10,,,tracker,,Done
2000,110125,,地铁,1号线,汉中路,,1995/4/10,,,tracker,,Done
2000,110126,,地铁,1号线,上海火车站,,1995/4/10,,,tracker,,Done
2000,110127,,地铁,1号线,中山北路,,2004/12/28,,,tracker,,Done
2000,110128,,地铁,1号线,延长路,,2004/12/28,,,tracker,,Done
2000,110129,,地铁,1号线,上海马戏城,,2004/12/28,,,tracker,,Done
2000,110130,,地铁,1号线,汶水路,,2004/12/28,,,tracker,,Done
2000,110131,,地铁,1号线,彭浦新村,,2004/12/28,,,tracker,,Done
2000,110132,,地铁,1号线,共康路,,2004/12/28,,,tracker,,Done
2000,110133,,地铁,1号线,通河新村,,2004/12/28,,,tracker,,Done
2000,110134,,地铁,1号线,呼兰路,,2004/12/28,,,tracker,,Done
2000,110135,,地铁,1号线,共富新村,,2004/12/28,,,tracker,,Done
2000,110136,,地铁,1号线,宝安公路,,2007/12/29,,,tracker,,Done
2000,110137,,地铁,1号线,友谊西路,,2007/12/29,,,tracker,,Done
2000,110138,,地铁,1号线,富锦路,,2007/12/29,,,tracker,,Done
2000,1102,,地铁,2号线,,,2000/6/11,,,tracker,,Done
2000,110234,,地铁,2号线,徐泾东,East Xujing,2010/3/16,,2024/9/21,tracker,,Done
2000,110234,,地铁,2号线,国家会展中心,National Exhibition and Convention Center,2024/9/21,,,admin,,Done
2000,110235,,地铁,2号线,虹桥火车站,,2010/7/1,,,tracker,,Done
2000,110236,,地铁,2号线,虹桥2号航站楼,,2010/3/16,,,tracker,,Done
2000,110237,,地铁,2号线,淞虹路,,2006/12/30,,,tracker,,Done
2000,110238,,地铁,2号线,北新泾,,2006/12/30,,,tracker,,Done
2000,110239,,地铁,2号线,威宁路,,2006/12/30,,,tracker,,Done
2000,110240,,地铁,2号线,娄山关路,,2006/12/30,,,tracker,,Done
2000,110241,,地铁,2号线,中山公园,,2000/6/11,,,tracker,,Done
2000,110242,,地铁,2号线,江苏路,,2000/6/11,,,tracker,,Done
2000,110243,,地铁,2号线,静安寺,,2000/6/11,,,tracker,,Done
2000,110244,,地铁,2号线,石门一路,Shimengyi Road,2000/6/11,,2006/10/19,admin,,Done
2000,110244,,地铁,2号线,南京西路,,2006/10/19,,,tracker,,Done
2000,110245,,地铁,2号线,人民公园,People's Park,2000/6/11,,2000/8/10,admin,,Done
2000,110245,,地铁,2号线,人民广场,People's Square,2000/8/10,,,tracker,,Done
2000,110246,,地铁,2号线,河南中路,Middle He'nan Road,2000/6/11,,2006/10/19,admin,,Done
2000,110246,,地铁,2号线,南京东路,,2006/10/19,,,tracker,,Done
2000,110247,,地铁,2号线,陆家嘴,,2000/6/11,,,tracker,,Done
2000,110248,,地铁,2号线,东昌路,Dongchang Road,2000/6/11,,2024/9/21,tracker,,Done
2000,110248,,地铁,2号线,浦东南路,South Pudong Road,2024/9/21,,,admin,,Done
2000,110249,,地铁,2号线,东方路,Dongfang Road,2000/6/11,,2006/10/28,admin,,Done
2000,110249,,地铁,2号线,世纪大道,,2006/10/28,,,tracker,,Done
2000,110250,,地铁,2号线,杨高南路,South Yanggao Road,2000/6/11,,2002/12/12,admin,,Done
2000,110250,,地铁,2号线,上海科技馆,,2002/12/12,,,tracker,,Done
2000,110251,,地铁,2号线,世纪公园,,2000/6/11,,,tracker,,Done
2000,110252,,地铁,2号线,龙阳路,,2000/6/11,,,tracker,,Done
2000,110253,,地铁,2号线,张江高科,,2000/12/26,,,tracker,,Done
2000,110254,,地铁,2号线,金科路,,2010/2/24,,,tracker,,Done
2000,110255,,地铁,2号线,广兰路,,2010/2/24,,,tracker,,Done
2000,110256,,地铁,2号线,唐镇,,2010/4/8,,,tracker,,Done
2000,110257,,地铁,2号线,创新中路,,2010/4/8,,,tracker,,Done
2000,110258,,地铁,2号线,华夏东路,,2010/4/8,,,tracker,,Done
2000,110259,,地铁,2号线,川沙,,2010/4/8,,,tracker,,Done
2000,110260,,地铁,2号线,凌空路,,2010/4/8,,,tracker,,Done
2000,110261,,地铁,2号线,远东大道,,2010/4/8,,,tracker,,Done
2000,110262,,地铁,2号线,海天三路,,2010/4/8,,,tracker,,Done
2000,110263,,地铁,2号线,浦东国际机场,Pudong International Airport,2010/4/8,,2024/9/21,tracker,,Done
2000,110263,,地铁,2号线,浦东1号2号航站楼,Pudong Airport Terminal 1 & 2,2024/9/21,,,admin,,Done
2000,1103,,地铁,3号线,,,2000/12/26,,,tracker,,Done
2000,110311,,地铁,3号线,上海南站,,2000/12/26,,,tracker,,Done
2000,110312,,地铁,3号线,石龙路,,2000/12/26,,,tracker,,Done
2000,110313,,地铁,3号线,龙漕路,,2000/12/26,,,tracker,,Done
2000,110314,,地铁,3号线,漕溪路,,2000/12/26,,,tracker,,Done
2000,110315,,地铁,3号线,宜山路,,2000/12/26,,,tracker,,Done
2000,110316,,地铁,3号线,虹桥路,,2000/12/26,,,tracker,,Done
2000,110317,,地铁,3号线,延安西路,,2000/12/26,,,tracker,,Done
2000,110318,,地铁,3号线,中山公园,,2000/12/26,,,tracker,,Done
2000,110319,,地铁,3号线,金沙江路,,2000/12/26,,,tracker,,Done
2000,110320,,地铁,3号线,曹杨路,,2000/12/26,,,tracker,,Done
2000,110321,,地铁,3号线,镇坪路,,2000/12/26,,,tracker,,Done
